,,PSNR_original_vs_noisy,PSNR_original_vs_noisy,PSNR_original_vs_inpainted,PSNR_original_vs_inpainted,PSNR_noisy_vs_inpainted,PSNR_noisy_vs_inpainted,SSIM_original_vs_noisy,SSIM_original_vs_noisy,SSIM_original_vs_inpainted,SSIM_original_vs_inpainted,SSIM_noisy_vs_inpainted,SSIM_noisy_vs_inpainted,MSE_original_vs_noisy,MSE_original_vs_noisy,MSE_original_vs_inpainted,MSE_original_vs_inpainted,MSE_noisy_vs_inpainted,MSE_noisy_vs_inpainted
,,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std
noise_type,mask_type,,,,,,,,,,,,,,,,,,
exponential,circle_random,19.2623,0.7767,15.8584,1.0266,16.6725,1.1621,0.5126,0.1168,0.2609,0.0892,0.2095,0.0889,781.8774,121.9414,1737.2351,449.5754,1452.1574,428.9289
exponential,line_random,19.2623,0.7767,15.9257,1.0019,16.7959,1.1453,0.5126,0.1168,0.2618,0.0896,0.2108,0.0891,781.8774,121.9414,1708.2801,433.6874,1409.9122,410.3738
exponential,rectangle_random,19.2623,0.7767,15.7065,1.1989,16.4455,1.3755,0.5126,0.1168,0.2583,0.0904,0.2073,0.0898,781.8774,121.9414,1823.2439,632.7266,1558.8431,630.6484
exponential,triangle_random,19.2623,0.7767,15.8713,1.0162,16.6817,1.1587,0.5126,0.1168,0.2609,0.0895,0.2097,0.0891,781.8774,121.9414,1731.0434,443.3678,1448.4134,422.0943
gamma,circle_random,14.3254,0.9179,13.0918,0.7337,15.9931,1.0031,0.4145,0.1268,0.2233,0.1071,0.1862,0.1079,2450.6645,449.7391,3233.6213,504.3111,1677.0416,360.8967
gamma,line_random,14.3254,0.9179,13.1,0.7269,16.1052,0.9786,0.4145,0.1268,0.2247,0.107,0.1877,0.1077,2450.6645,449.7391,3226.5565,494.7575,1632.2202,340.3692
gamma,rectangle_random,14.3254,0.9179,13.0392,0.8051,15.7808,1.1428,0.4145,0.1268,0.2206,0.1071,0.1843,0.1076,2450.6645,449.7391,3284.6919,619.4548,1778.4277,496.6492
gamma,triangle_random,14.3254,0.9179,13.0908,0.7352,15.9987,0.9958,0.4145,0.1268,0.2235,0.107,0.1866,0.1077,2450.6645,449.7391,3234.7908,508.443,1674.3207,357.192
gaussian,circle_random,23.5177,0.4109,17.3345,1.4647,16.5419,1.1953,0.4886,0.0688,0.2319,0.0383,0.164,0.0313,290.5392,26.6173,1272.23,446.9615,1498.3047,430.5283
gaussian,line_random,23.5177,0.4109,17.4711,1.4273,16.6556,1.1587,0.4886,0.0688,0.2326,0.038,0.1653,0.0315,290.5392,26.6173,1229.3413,422.0588,1456.235,406.5105
gaussian,rectangle_random,23.5177,0.4109,17.0512,1.5442,16.3094,1.2763,0.4886,0.0688,0.2295,0.0382,0.1622,0.0316,290.5392,26.6173,1369.209,537.9209,1591.1014,514.6083
gaussian,triangle_random,23.5177,0.4109,17.3416,1.4328,16.5497,1.1685,0.4886,0.0688,0.2322,0.0382,0.1645,0.0318,290.5392,26.6173,1266.5841,431.4764,1492.7675,416.1201
uniform,circle_random,22.0929,0.3911,17.1151,1.3563,16.1225,1.0984,0.4273,0.0664,0.2009,0.0313,0.1377,0.0253,403.1798,34.7868,1326.0095,422.0088,1638.3395,411.7434
uniform,line_random,22.0929,0.3911,17.2509,1.3293,16.2283,1.0722,0.4273,0.0664,0.202,0.0309,0.139,0.0246,403.1798,34.7868,1283.1349,403.856,1596.72,393.4635
uniform,rectangle_random,22.0929,0.3911,16.8863,1.4476,15.9389,1.1796,0.4273,0.0664,0.1988,0.0317,0.1362,0.0252,403.1798,34.7868,1410.7582,525.0237,1720.0944,504.4201
uniform,triangle_random,22.0929,0.3911,17.122,1.3404,16.1273,1.0847,0.4273,0.0664,0.2008,0.0309,0.1378,0.0246,403.1798,34.7868,1322.4694,416.6235,1635.2918,406.0741
