image_number,noise_type,mask_type,original_path,noisy_path,inpainted_path,PSNR_original_vs_noisy,PSNR_original_vs_inpainted,PSNR_noisy_vs_inpainted,SSIM_original_vs_noisy,SSIM_original_vs_inpainted,SSIM_noisy_vs_inpainted,MSE_original_vs_noisy,MSE_original_vs_inpainted,MSE_noisy_vs_inpainted
000001,uniform,circle_random,img_align_celeba\000001.jpg,noise_image\000001_uniform.jpg,noise_inpainted_results\000001_uniform_circle_random_inpainted.jpg,22.217535479438503,14.357482494062829,14.028479016556892,0.6207892795706957,0.12325824875388079,0.0908415162563982,390.23553413737415,2384.1419613098305,2571.7719736796894
000002,gamma,circle_random,img_align_celeba\000002.jpg,noise_image\000002_gamma.jpg,noise_inpainted_results\000002_gamma_circle_random_inpainted.jpg,13.954998613584198,12.497832801933077,14.274608566506535,0.43808231902039624,0.1678792216108982,0.12012247648851963,2615.6552331374774,3658.4496357763805,2430.074030168711
000003,uniform,circle_random,img_align_celeba\000003.jpg,noise_image\000003_uniform.jpg,noise_inpainted_results\000003_uniform_circle_random_inpainted.jpg,21.732402695762957,20.52260050583523,18.34268933017866,0.28253341567278106,0.2407553517020317,0.13978589143818668,436.35513520942857,576.5278751331477,952.3825464728723
000004,gaussian,circle_random,img_align_celeba\000004.jpg,noise_image\000004_gaussian.jpg,noise_inpainted_results\000004_gaussian_circle_random_inpainted.jpg,24.04697079959547,16.214263677418923,15.834526506796099,0.5893698838348006,0.16701776455026793,0.1512196646736028,256.0844930075937,1554.7264714977837,1696.788492595265
000005,uniform,circle_random,img_align_celeba\000005.jpg,noise_image\000005_uniform.jpg,noise_inpainted_results\000005_uniform_circle_random_inpainted.jpg,21.717704392903396,17.400214191890147,16.156792229866415,0.4144547046086429,0.24618766586411658,0.1633784736961813,437.8344414665155,1183.2021269284953,1575.4373518194
000006,uniform,circle_random,img_align_celeba\000006.jpg,noise_image\000006_uniform.jpg,noise_inpainted_results\000006_uniform_circle_random_inpainted.jpg,22.3008600350599,16.864569043084757,16.089274469919165,0.5267984841711785,0.25026642031048035,0.174452570074605,382.8197694395767,1338.515659897605,1600.1213276981755
000007,exponential,circle_random,img_align_celeba\000007.jpg,noise_image\000007_exponential.jpg,noise_inpainted_results\000007_exponential_circle_random_inpainted.jpg,20.147654391688977,14.39260499435658,15.24701973893854,0.7132913418289185,0.34503304543059005,0.29321152751337315,628.5139504518435,2364.938554444559,1942.5776466343675
000008,exponential,circle_random,img_align_celeba\000008.jpg,noise_image\000008_exponential.jpg,noise_inpainted_results\000008_exponential_circle_random_inpainted.jpg,18.833151390679042,14.800434718747804,15.547929413567855,0.49877333441628524,0.22122601556428312,0.17270173928561428,850.6780400645981,2152.964599869429,1812.5392485310792
000009,exponential,circle_random,img_align_celeba\000009.jpg,noise_image\000009_exponential.jpg,noise_inpainted_results\000009_exponential_circle_random_inpainted.jpg,18.93045454123023,15.046123265535565,15.989870388029674,0.5516746842403638,0.24889391200042432,0.20211772040952844,831.8306274267258,2034.5484400233654,1637.1682816204516
000010,uniform,circle_random,img_align_celeba\000010.jpg,noise_image\000010_uniform.jpg,noise_inpainted_results\000010_uniform_circle_random_inpainted.jpg,22.188407283348944,16.947487123824224,16.028046596319236,0.4469538730857286,0.1858583566023981,0.12629526726513793,392.86164656564614,1313.202341682988,1622.839990722606
