image_number,noise_type,mask_type,original_path,noisy_path,inpainted_path,PSNR_original_vs_noisy,PSNR_original_vs_inpainted,PSNR_noisy_vs_inpainted,SSIM_original_vs_noisy,SSIM_original_vs_inpainted,SSIM_noisy_vs_inpainted,MSE_original_vs_noisy,MSE_original_vs_inpainted,MSE_noisy_vs_inpainted
000001,uniform,line_random,img_align_celeba\000001.jpg,noise_image\000001_uniform.jpg,noise_inpainted_results\000001_uniform_line_random_inpainted.jpg,22.217535479438503,14.353145169831185,14.027285812225799,0.6207892795706957,0.12143526007603704,0.09112687945502196,390.23553413737415,2386.524207126413,2572.4786534034292
000002,gamma,line_random,img_align_celeba\000002.jpg,noise_image\000002_gamma.jpg,noise_inpainted_results\000002_gamma_line_random_inpainted.jpg,13.954998613584198,12.638633430984171,15.394937228924665,0.43808231902039624,0.21132788319205617,0.15709869695225254,2615.6552331374774,3541.7427842490465,1877.5289317252516
000003,uniform,line_random,img_align_celeba\000003.jpg,noise_image\000003_uniform.jpg,noise_inpainted_results\000003_uniform_line_random_inpainted.jpg,21.732402695762957,20.39895032000283,18.26880186989158,0.28253341567278106,0.23677128728816352,0.1353819287643454,436.35513520942857,593.1784008521458,968.7242552314194
000004,gaussian,line_random,img_align_celeba\000004.jpg,noise_image\000004_gaussian.jpg,noise_inpainted_results\000004_gaussian_line_random_inpainted.jpg,24.04697079959547,16.21196847595333,15.835637809741787,0.5893698838348006,0.1670315374971705,0.15167436621967825,256.0844930075937,1555.5483455313886,1696.354362093255
000005,uniform,line_random,img_align_celeba\000005.jpg,noise_image\000005_uniform.jpg,noise_inpainted_results\000005_uniform_line_random_inpainted.jpg,21.717704392903396,17.546037275050146,16.26390219029918,0.4144547046086429,0.24977112127219547,0.16556547108187072,437.8344414665155,1144.1333195890459,1537.0575971549324
000006,uniform,line_random,img_align_celeba\000006.jpg,noise_image\000006_uniform.jpg,noise_inpainted_results\000006_uniform_line_random_inpainted.jpg,22.3008600350599,16.911555891071824,16.120132350317594,0.5267984841711785,0.25025299148964836,0.1759770226532705,382.8197694395767,1324.1121533862488,1588.792298044875
000007,exponential,line_random,img_align_celeba\000007.jpg,noise_image\000007_exponential.jpg,noise_inpainted_results\000007_exponential_line_random_inpainted.jpg,20.147654391688977,14.711378364195863,15.528227192737312,0.7132913418289185,0.35406032474008886,0.300516496885093,628.5139504518435,2197.5690220939423,1820.7807013022712
000008,exponential,line_random,img_align_celeba\000008.jpg,noise_image\000008_exponential.jpg,noise_inpainted_results\000008_exponential_line_random_inpainted.jpg,18.833151390679042,14.818646160219114,15.561872985732379,0.49877333441628524,0.22195953494430776,0.17397163554557152,850.6780400645981,2143.9553911967837,1806.7291945847508
000009,exponential,line_random,img_align_celeba\000009.jpg,noise_image\000009_exponential.jpg,noise_inpainted_results\000009_exponential_line_random_inpainted.jpg,18.93045454123023,15.026732421401386,15.97702893527444,0.5516746842403638,0.24670384178605534,0.1991128953763425,831.8306274267258,2043.6528192969797,1642.0163127512628
000010,uniform,line_random,img_align_celeba\000010.jpg,noise_image\000010_uniform.jpg,noise_inpainted_results\000010_uniform_line_random_inpainted.jpg,22.188407283348944,17.569019213630565,16.53736708681957,0.4469538730857286,0.20428347118882673,0.14163352362097312,392.86164656564614,1138.0948012232416,1443.2569322750232
000011,uniform,line_random,img_align_celeba\000011.jpg,noise_image\000011_uniform.jpg,noise_inpainted_results\000011_uniform_line_random_inpainted.jpg,22.256177924488284,18.875701372518595,17.38415440648626,0.3295876668543832,0.25563331456194816,0.1589509283069637,386.77871697075904,842.384221557915,1187.5855925505962
000012,gamma,line_random,img_align_celeba\000012.jpg,noise_image\000012_gamma.jpg,noise_inpainted_results\000012_gamma_line_random_inpainted.jpg,13.503303383701235,12.899729750380999,16.16107733416135,0.2517849290830631,0.12261842016193614,0.09380154425421285,2902.3515960553896,3335.088676425111,1573.883663196234
000013,uniform,line_random,img_align_celeba\000013.jpg,noise_image\000013_uniform.jpg,noise_inpainted_results\000013_uniform_line_random_inpainted.jpg,21.710614377777485,16.730024348562743,15.664584507998677,0.47501683463425226,0.2197453640015634,0.1516732587760732,438.54980586193864,1380.6319709308318,1764.5010050510257
000014,uniform,line_random,img_align_celeba\000014.jpg,noise_image\000014_uniform.jpg,noise_inpainted_results\000014_uniform_line_random_inpainted.jpg,21.8577507905619,16.746386083889178,15.805374095022549,0.4019820480753176,0.18725201409864078,0.1181499370010259,423.94086520290006,1375.4403240215786,1708.2166529223791
000015,gaussian,line_random,img_align_celeba\000015.jpg,noise_image\000015_gaussian.jpg,noise_inpainted_results\000015_gaussian_line_random_inpainted.jpg,23.104886768864887,18.016932708794542,16.936886919794848,0.47676996962089296,0.272318718730182,0.19350726119860004,318.120520221283,1026.566505171288,1316.411503968663
000016,exponential,line_random,img_align_celeba\000016.jpg,noise_image\000016_exponential.jpg,noise_inpainted_results\000016_exponential_line_random_inpainted.jpg,18.61085665403294,16.687299761022274,17.552845980461985,0.3186551821376466,0.16928001882348973,0.1337341885410824,895.3538295021132,1394.2812424835927,1142.3409957736317
000017,uniform,line_random,img_align_celeba\000017.jpg,noise_image\000017_uniform.jpg,noise_inpainted_results\000017_uniform_line_random_inpainted.jpg,21.75167381100113,17.144844110329956,16.04253663105787,0.3320802988770164,0.18244465798067147,0.10959863810420806,434.4231694327045,1254.861947221936,1617.4344826993781
000018,uniform,line_random,img_align_celeba\000018.jpg,noise_image\000018_uniform.jpg,noise_inpainted_results\000018_uniform_line_random_inpainted.jpg,21.898172761013406,15.881118538485923,15.035906300637404,0.48854903745181416,0.16999171653975986,0.11212121209783173,420.01334054908426,1678.682283613373,2039.3404374119507
000019,uniform,line_random,img_align_celeba\000019.jpg,noise_image\000019_uniform.jpg,noise_inpainted_results\000019_uniform_line_random_inpainted.jpg,21.745398810080584,17.040671590683694,15.900942171515789,0.5172942395122117,0.20148364804435062,0.1325812188223526,435.0513091433873,1285.325731024293,1671.037298560286
000020,exponential,line_random,img_align_celeba\000020.jpg,noise_image\000020_exponential.jpg,noise_inpainted_results\000020_exponential_line_random_inpainted.jpg,18.70074139980956,15.05160678023727,15.745342308257042,0.44285236759714447,0.15909724904873973,0.16404835972750423,877.0133834999829,2031.9811875064427,1731.9929904133594
000021,exponential,line_random,img_align_celeba\000021.jpg,noise_image\000021_exponential.jpg,noise_inpainted_results\000021_exponential_line_random_inpainted.jpg,19.71897665421167,17.336755747951006,18.25027008309571,0.5213330328993159,0.31961404853935144,0.24770808428209667,693.7175720716077,1200.617822904855,972.8667319520324
000022,gaussian,line_random,img_align_celeba\000022.jpg,noise_image\000022_gaussian.jpg,noise_inpainted_results\000022_gaussian_line_random_inpainted.jpg,23.157539700412094,18.71951067159919,17.51988863749923,0.4315728803478784,0.2096820729749118,0.14151180875342464,314.28698072363676,873.2312991787788,1151.0428649967357
000023,uniform,line_random,img_align_celeba\000023.jpg,noise_image\000023_uniform.jpg,noise_inpainted_results\000023_uniform_line_random_inpainted.jpg,21.787876551463402,16.460733407029686,15.561202634917858,0.4582797368491009,0.20808837440688235,0.1334298564699032,430.81687454901555,1468.9500223344673,1807.0080919492837
