image_number,noise_type,mask_type,original_path,noisy_path,inpainted_path,PSNR_original_vs_noisy,PSNR_original_vs_inpainted,PSNR_noisy_vs_inpainted,SSIM_original_vs_noisy,SSIM_original_vs_inpainted,SSIM_noisy_vs_inpainted,MSE_original_vs_noisy,MSE_original_vs_inpainted,MSE_noisy_vs_inpainted
000001,uniform,circle_random,img_align_celeba\000001.jpg,noise_image\000001_uniform.jpg,noise_inpainted_results\000001_uniform_circle_random_inpainted.jpg,22.217535479438503,14.357482494062829,14.028479016556892,0.6207892795706957,0.12325824875388079,0.0908415162563982,390.23553413737415,2384.1419613098305,2571.7719736796894
000001,uniform,line_random,img_align_celeba\000001.jpg,noise_image\000001_uniform.jpg,noise_inpainted_results\000001_uniform_line_random_inpainted.jpg,22.217535479438503,14.353145169831185,14.027285812225799,0.6207892795706957,0.12143526007603704,0.09112687945502196,390.23553413737415,2386.524207126413,2572.4786534034292
000001,uniform,rectangle_random,img_align_celeba\000001.jpg,noise_image\000001_uniform.jpg,noise_inpainted_results\000001_uniform_rectangle_random_inpainted.jpg,22.217535479438503,14.011933408627781,13.754599129977283,0.6207892795706957,0.12488933421149345,0.09402883863029317,390.23553413737415,2581.5885132116964,2739.179216919218
000001,uniform,triangle_random,img_align_celeba\000001.jpg,noise_image\000001_uniform.jpg,noise_inpainted_results\000001_uniform_triangle_random_inpainted.jpg,22.217535479438503,14.391209975579615,14.057096433556511,0.6207892795706957,0.12916296113272782,0.09733474537888757,390.23553413737415,2365.698330069065,2554.881240765557
000002,gamma,circle_random,img_align_celeba\000002.jpg,noise_image\000002_gamma.jpg,noise_inpainted_results\000002_gamma_circle_random_inpainted.jpg,13.954998613584198,12.497832801933077,14.274608566506535,0.43808231902039624,0.1678792216108982,0.12012247648851963,2615.6552331374774,3658.4496357763805,2430.074030168711
000002,gamma,line_random,img_align_celeba\000002.jpg,noise_image\000002_gamma.jpg,noise_inpainted_results\000002_gamma_line_random_inpainted.jpg,13.954998613584198,12.638633430984171,15.394937228924665,0.43808231902039624,0.21132788319205617,0.15709869695225254,2615.6552331374774,3541.7427842490465,1877.5289317252516
000002,gamma,rectangle_random,img_align_celeba\000002.jpg,noise_image\000002_gamma.jpg,noise_inpainted_results\000002_gamma_rectangle_random_inpainted.jpg,13.954998613584198,12.840608652694648,15.139048326718683,0.43808231902039624,0.214470707934025,0.1595062833413414,2615.6552331374774,3380.800123698588,1991.478069271209
000002,gamma,triangle_random,img_align_celeba\000002.jpg,noise_image\000002_gamma.jpg,noise_inpainted_results\000002_gamma_triangle_random_inpainted.jpg,13.954998613584198,12.663819392143797,15.37760001359624,0.43808231902039624,0.21125015013054815,0.15508524249367842,2615.6552331374774,3521.2626619248877,1885.0390853176648
000003,uniform,circle_random,img_align_celeba\000003.jpg,noise_image\000003_uniform.jpg,noise_inpainted_results\000003_uniform_circle_random_inpainted.jpg,21.732402695762957,20.52260050583523,18.34268933017866,0.28253341567278106,0.2407553517020317,0.13978589143818668,436.35513520942857,576.5278751331477,952.3825464728723
000003,uniform,line_random,img_align_celeba\000003.jpg,noise_image\000003_uniform.jpg,noise_inpainted_results\000003_uniform_line_random_inpainted.jpg,21.732402695762957,20.39895032000283,18.26880186989158,0.28253341567278106,0.23677128728816352,0.1353819287643454,436.35513520942857,593.1784008521458,968.7242552314194
