image_number,noise_type,mask_type,original_path,noisy_path,inpainted_path,PSNR_original_vs_noisy,PSNR_original_vs_inpainted,PSNR_noisy_vs_inpainted,SSIM_original_vs_noisy,SSIM_original_vs_inpainted,SSIM_noisy_vs_inpainted,MSE_original_vs_noisy,MSE_original_vs_inpainted,MSE_noisy_vs_inpainted
000001,uniform,rectangle_random,img_align_celeba\000001.jpg,noise_image\000001_uniform.jpg,noise_inpainted_results\000001_uniform_rectangle_random_inpainted.jpg,22.217535479438503,14.011933408627781,13.754599129977283,0.6207892795706957,0.12488933421149345,0.09402883863029317,390.23553413737415,2581.5885132116964,2739.179216919218
000002,gamma,rectangle_random,img_align_celeba\000002.jpg,noise_image\000002_gamma.jpg,noise_inpainted_results\000002_gamma_rectangle_random_inpainted.jpg,13.954998613584198,12.840608652694648,15.139048326718683,0.43808231902039624,0.214470707934025,0.1595062833413414,2615.6552331374774,3380.800123698588,1991.478069271209
000003,uniform,rectangle_random,img_align_celeba\000003.jpg,noise_image\000003_uniform.jpg,noise_inpainted_results\000003_uniform_rectangle_random_inpainted.jpg,21.732402695762957,20.33051049040243,18.216936106821677,0.28253341567278106,0.2344134989410059,0.13181052224394096,436.35513520942857,602.6002559873552,980.3626344363124
000004,gaussian,rectangle_random,img_align_celeba\000004.jpg,noise_image\000004_gaussian.jpg,noise_inpainted_results\000004_gaussian_rectangle_random_inpainted.jpg,24.04697079959547,16.213488854928276,15.836650253743718,0.5893698838348006,0.16970607654940775,0.1537116178865672,256.0844930075937,1555.0038741710478,1695.9589475311823
000005,uniform,rectangle_random,img_align_celeba\000005.jpg,noise_image\000005_uniform.jpg,noise_inpainted_results\000005_uniform_rectangle_random_inpainted.jpg,21.717704392903396,17.373696477710826,16.138240794413516,0.4144547046086429,0.24577057119533632,0.16388139070676988,437.8344414665155,1190.4487767584098,1582.1814245954026
000006,uniform,rectangle_random,img_align_celeba\000006.jpg,noise_image\000006_uniform.jpg,noise_inpainted_results\000006_uniform_rectangle_random_inpainted.jpg,22.3008600350599,16.796442637616632,16.024118785773947,0.5267984841711785,0.2399109475541352,0.1682741205576713,382.8197694395767,1359.6780830154967,1624.308370271106
000007,exponential,rectangle_random,img_align_celeba\000007.jpg,noise_image\000007_exponential.jpg,noise_inpainted_results\000007_exponential_rectangle_random_inpainted.jpg,20.147654391688977,14.693758001214727,15.421172948697276,0.7132913418289185,0.3625921259104769,0.3093951131477727,628.5139504518435,2206.5031955468507,1866.2209737827716
000008,exponential,rectangle_random,img_align_celeba\000008.jpg,noise_image\000008_exponential.jpg,noise_inpainted_results\000008_exponential_rectangle_random_inpainted.jpg,18.833151390679042,14.827788672347841,15.569811768262884,0.49877333441628524,0.22087281522714244,0.173299318253589,850.6780400645981,2139.446809607257,1803.4295605264062
000009,exponential,rectangle_random,img_align_celeba\000009.jpg,noise_image\000009_exponential.jpg,noise_inpainted_results\000009_exponential_rectangle_random_inpainted.jpg,18.93045454123023,13.889773178394586,14.952567085103803,0.5516746842403638,0.251280189589492,0.20434221834549457,831.8306274267258,2655.2354825962957,2078.8523863519226
000010,uniform,rectangle_random,img_align_celeba\000010.jpg,noise_image\000010_uniform.jpg,noise_inpainted_results\000010_uniform_rectangle_random_inpainted.jpg,22.188407283348944,17.44362869701255,16.45441622435826,0.4469538730857286,0.2076562687274338,0.14403226552536835,392.86164656564614,1171.4330996804454,1471.088289867024
