image_number,noise_type,mask_type,original_path,noisy_path,inpainted_path,PSNR_original_vs_noisy,PSNR_original_vs_inpainted,PSNR_noisy_vs_inpainted,SSIM_original_vs_noisy,SSIM_original_vs_inpainted,SSIM_noisy_vs_inpainted,MSE_original_vs_noisy,MSE_original_vs_inpainted,MSE_noisy_vs_inpainted
000001,uniform,triangle_random,img_align_celeba\000001.jpg,noise_image\000001_uniform.jpg,noise_inpainted_results\000001_uniform_triangle_random_inpainted.jpg,22.217535479438503,14.391209975579615,14.057096433556511,0.6207892795706957,0.12916296113272782,0.09733474537888757,390.23553413737415,2365.698330069065,2554.881240765557
000002,gamma,triangle_random,img_align_celeba\000002.jpg,noise_image\000002_gamma.jpg,noise_inpainted_results\000002_gamma_triangle_random_inpainted.jpg,13.954998613584198,12.663819392143797,15.37760001359624,0.43808231902039624,0.21125015013054815,0.15508524249367842,2615.6552331374774,3521.2626619248877,1885.0390853176648
000003,uniform,triangle_random,img_align_celeba\000003.jpg,noise_image\000003_uniform.jpg,noise_inpainted_results\000003_uniform_triangle_random_inpainted.jpg,21.732402695762957,20.367658661110084,18.26090764112763,0.28253341567278106,0.23666164502822942,0.13817767384270055,436.35513520942857,597.4677868261005,970.4867195821737
000004,gaussian,triangle_random,img_align_celeba\000004.jpg,noise_image\000004_gaussian.jpg,noise_inpainted_results\000004_gaussian_triangle_random_inpainted.jpg,24.04697079959547,16.252263867423142,15.86708340780244,0.5893698838348006,0.16956290188754464,0.15285093211226136,256.0844930075937,1541.1821633508573,1684.116070508195
000005,uniform,triangle_random,img_align_celeba\000005.jpg,noise_image\000005_uniform.jpg,noise_inpainted_results\000005_uniform_triangle_random_inpainted.jpg,21.717704392903396,17.56577711150544,16.28289912838865,0.4144547046086429,0.2519230619128274,0.16801975323388654,437.8344414665155,1138.944730783768,1530.3488729684225
000006,uniform,triangle_random,img_align_celeba\000006.jpg,noise_image\000006_uniform.jpg,noise_inpainted_results\000006_uniform_triangle_random_inpainted.jpg,22.3008600350599,16.92099403951434,16.12573713635769,0.5267984841711785,0.2526110939360776,0.17778030170897266,382.8197694395767,1321.2376988626602,1586.743205167852
000007,exponential,triangle_random,img_align_celeba\000007.jpg,noise_image\000007_exponential.jpg,noise_inpainted_results\000007_exponential_triangle_random_inpainted.jpg,20.147654391688977,14.665272301339904,15.465476636170582,0.7132913418289185,0.3528280815194799,0.2999126832899942,628.5139504518435,2221.0233824691613,1847.2798680548397
000008,exponential,triangle_random,img_align_celeba\000008.jpg,noise_image\000008_exponential.jpg,noise_inpainted_results\000008_exponential_triangle_random_inpainted.jpg,18.833151390679042,14.818579846032227,15.549888099407616,0.49877333441628524,0.2215431656044713,0.172161270722844,850.6780400645981,2143.9881283716454,1811.7219702436175
000009,exponential,triangle_random,img_align_celeba\000009.jpg,noise_image\000009_exponential.jpg,noise_inpainted_results\000009_exponential_triangle_random_inpainted.jpg,18.93045454123023,14.981776686350642,15.958716236144333,0.5516746842403638,0.24754676814131357,0.2019864523977233,831.8306274267258,2064.91743978284,1648.9547469333058
000010,uniform,triangle_random,img_align_celeba\000010.jpg,noise_image\000010_uniform.jpg,noise_inpainted_results\000010_uniform_triangle_random_inpainted.jpg,22.188407283348944,17.059791042394068,16.120264034625023,0.4469538730857286,0.19437273920785192,0.13332658158036856,392.86164656564614,1279.6796292478439,1588.7441243170806
000011,uniform,triangle_random,img_align_celeba\000011.jpg,noise_image\000011_uniform.jpg,noise_inpainted_results\000011_uniform_triangle_random_inpainted.jpg,22.256177924488284,18.630279577168647,17.208729107434028,0.3295876668543832,0.24855207810355187,0.1538492499232196,386.77871697075904,891.3584853795141,1236.5379514139436
000012,gamma,triangle_random,img_align_celeba\000012.jpg,noise_image\000012_gamma.jpg,noise_inpainted_results\000012_gamma_triangle_random_inpainted.jpg,13.503303383701235,12.94416763348991,16.16386650536887,0.2517849290830631,0.12463884792203073,0.09626860563789813,2902.3515960553896,3301.1373741538673,1572.8731917671719
000013,uniform,triangle_random,img_align_celeba\000013.jpg,noise_image\000013_uniform.jpg,noise_inpainted_results\000013_uniform_triangle_random_inpainted.jpg,21.710614377777485,16.45606254711435,15.447345604701335,0.47501683463425226,0.21304814178752973,0.147385780492467,438.54980586193864,1470.53073566299,1855.0080575885647
