img,inpainted,ssim,mse,psnr
000001.jpg,000001_circle_random_inpainted.jpg,0.0908415162563982,2571.7719736796894,14.028479016556892
000002.jpg,000002_circle_random_inpainted.jpg,0.1201224764885196,2430.074030168711,14.274608566506537
000003.jpg,000003_circle_random_inpainted.jpg,0.1397858914381866,952.3825464728724,18.34268933017866
000004.jpg,000004_circle_random_inpainted.jpg,0.1512196646736028,1696.788492595265,15.8345265067961
000005.jpg,000005_circle_random_inpainted.jpg,0.1633784736961813,1575.4373518194,16.156792229866415
000006.jpg,000006_circle_random_inpainted.jpg,0.174452570074605,1600.1213276981755,16.089274469919165
000007.jpg,000007_circle_random_inpainted.jpg,0.2932115275133731,1942.5776466343675,15.24701973893854
000008.jpg,000008_circle_random_inpainted.jpg,0.1727017392856142,1812.5392485310792,15.547929413567855
000009.jpg,000009_circle_random_inpainted.jpg,0.2021177204095284,1637.1682816204516,15.989870388029674
000010.jpg,000010_circle_random_inpainted.jpg,0.1262952672651379,1622.839990722606,16.028046596319236
000011.jpg,000011_circle_random_inpainted.jpg,0.1576697459108772,1192.157294780607,17.36746800305599
000012.jpg,000012_circle_random_inpainted.jpg,0.0925027615671799,1582.6845857815345,16.136859882060392
000013.jpg,000013_circle_random_inpainted.jpg,0.1519755553292462,1772.1066041301583,15.645905167971874
000014.jpg,000014_circle_random_inpainted.jpg,0.1194074379046466,1708.579416211387,15.804451908903989
000015.jpg,000015_circle_random_inpainted.jpg,0.1518304933446213,1485.0915283647737,16.41327140185184
000016.jpg,000016_circle_random_inpainted.jpg,0.1344089739043992,1144.4010754904994,17.545021035912306
000017.jpg,000017_circle_random_inpainted.jpg,0.0968878494405729,1931.10305638594,15.272749096543066
000018.jpg,000018_circle_random_inpainted.jpg,0.1096012208838655,2043.606784523932,15.026830250508656
000019.jpg,000019_circle_random_inpainted.jpg,0.1230384268100909,1789.9687832869463,15.602349038346317
000020.jpg,000020_circle_random_inpainted.jpg,0.1630793174104232,1737.005093976566,15.732792687980888
000021.jpg,000021_circle_random_inpainted.jpg,0.2446690691287693,1031.5398068927602,17.995943689074604
000022.jpg,000022_circle_random_inpainted.jpg,0.1445685390598212,1145.6403463560457,17.540320609571594
000023.jpg,000023_circle_random_inpainted.jpg,0.1372793251467854,1838.9095024567916,15.485200038705706
000024.jpg,000024_circle_random_inpainted.jpg,0.2071561622757992,1275.38143833969,17.07440268810455
000025.jpg,000025_circle_random_inpainted.jpg,0.1296029453406552,1226.6697419510017,17.243527081281776
000026.jpg,000026_circle_random_inpainted.jpg,0.2581729044616311,1231.3056643644984,17.227144835105538
000027.jpg,000027_circle_random_inpainted.jpg,0.1239758794334422,1592.9972855032129,16.10865325111964
000028.jpg,000028_circle_random_inpainted.jpg,0.1062817774569361,1545.7680737381029,16.23936027722657
000029.jpg,000029_circle_random_inpainted.jpg,0.2002429856473799,1221.8770745283991,17.26052844437088
000030.jpg,000030_circle_random_inpainted.jpg,0.221625055352207,953.5198347249424,18.337506293778645
000031.jpg,000031_circle_random_inpainted.jpg,0.1362979629323913,1317.857171082019,16.932120167496755
000032.jpg,000032_circle_random_inpainted.jpg,0.1729354436701168,1589.5039428924854,16.11818751313359
000033.jpg,000033_circle_random_inpainted.jpg,0.115987175072667,1630.6444524619455,16.007210835595334
000034.jpg,000034_circle_random_inpainted.jpg,0.0728686019606001,1697.1002388069958,15.833728662962052
000035.jpg,000035_circle_random_inpainted.jpg,0.1586213857960437,1803.0193021338007,15.570799848025649
000036.jpg,000036_circle_random_inpainted.jpg,0.1377523505144521,1235.0162526200047,17.21407687987416
000037.jpg,000037_circle_random_inpainted.jpg,0.1124137944114463,1038.8815414218466,17.965143309621066
000038.jpg,000038_circle_random_inpainted.jpg,0.1816185555764275,1564.769731642786,16.18629924183365
000039.jpg,000039_circle_random_inpainted.jpg,0.2078654210265903,1804.4847953819196,15.567271338292985
000040.jpg,000040_circle_random_inpainted.jpg,0.1450493974350626,1572.6036920592378,16.16461069927421
000041.jpg,000041_circle_random_inpainted.jpg,0.177215211229101,989.5389221042504,18.176474796345857
000042.jpg,000042_circle_random_inpainted.jpg,0.133460061519264,1828.543706834347,15.509750153296842
000043.jpg,000043_circle_random_inpainted.jpg,0.1306484461044225,1501.3842988695324,16.36588491065249
000044.jpg,000044_circle_random_inpainted.jpg,0.1611065892516675,1979.558894272068,15.16511933801212
000045.jpg,000045_circle_random_inpainted.jpg,0.2169738543828361,2018.375674329107,15.080783574885444
000046.jpg,000046_circle_random_inpainted.jpg,0.219007168347396,1605.1367041198505,16.075683351446724
000047.jpg,000047_circle_random_inpainted.jpg,0.1553093951218004,1436.9596175651996,16.556357974066337
000048.jpg,000048_circle_random_inpainted.jpg,0.1957088205100029,1462.7466841906332,16.47911238559154
000049.jpg,000049_circle_random_inpainted.jpg,0.0984990978973115,1577.2434199223449,16.15181636612604
000050.jpg,000050_circle_random_inpainted.jpg,0.1790726163951216,1099.1565989760506,17.720207892577257
000051.jpg,000051_circle_random_inpainted.jpg,0.1292766462263016,1688.7664330137786,15.855107727934223
000052.jpg,000052_circle_random_inpainted.jpg,0.1766078665475138,1383.641308456173,16.720568415189586
000053.jpg,000053_circle_random_inpainted.jpg,0.1533044269438698,1621.9012387039136,16.030559553773415
000054.jpg,000054_circle_random_inpainted.jpg,0.2031068870491398,1485.517008555819,16.412027322074266
000055.jpg,000055_circle_random_inpainted.jpg,0.1282947895696694,1347.6448905611103,16.835048918043967
000056.jpg,000056_circle_random_inpainted.jpg,0.1768300525250487,1597.1412826856338,16.097370254577868
000057.jpg,000057_circle_random_inpainted.jpg,0.143561145033873,1341.5301429405904,16.85479925555297
000058.jpg,000058_circle_random_inpainted.jpg,0.2051252567555448,1310.0563172181562,16.95790395188205
000059.jpg,000059_circle_random_inpainted.jpg,0.152975702750732,1330.9936260866575,16.889043851543327
000060.jpg,000060_circle_random_inpainted.jpg,0.1138984908344487,1951.826340927052,15.226391861295197
000061.jpg,000061_circle_random_inpainted.jpg,0.1647351101726661,1160.3884822870496,17.484769514094683
000062.jpg,000062_circle_random_inpainted.jpg,0.1563323277003131,1259.4640672782875,17.128945793516582
000063.jpg,000063_circle_random_inpainted.jpg,0.0969051594127315,1750.5934182043088,15.698950695725651
000064.jpg,000064_circle_random_inpainted.jpg,0.1281307124662289,1374.429594887125,16.74957862839858
000065.jpg,000065_circle_random_inpainted.jpg,0.178865022517885,915.9454781294024,18.5121073791214
000066.jpg,000066_circle_random_inpainted.jpg,0.1832776280323961,1349.9235044497132,16.827712016593036
000067.jpg,000067_circle_random_inpainted.jpg,0.154439427771925,1967.8561918015323,15.190870032507672
000068.jpg,000068_circle_random_inpainted.jpg,0.1187816059501281,1855.7953561488507,15.445502772369084
000069.jpg,000069_circle_random_inpainted.jpg,0.1582249838725501,1583.5695031440057,16.134432314804734
000070.jpg,000070_circle_random_inpainted.jpg,0.2259345672780769,1579.4132477751434,16.14584584407839
000071.jpg,000071_circle_random_inpainted.jpg,0.1508215231980244,1457.690890973439,16.49414920958008
000072.jpg,000072_circle_random_inpainted.jpg,0.1509950164147009,1643.9171992578083,15.972004216365242
000073.jpg,000073_circle_random_inpainted.jpg,0.1305476963862555,1672.8987819125175,15.89610695928636
000074.jpg,000074_circle_random_inpainted.jpg,0.1421671566774867,3411.5334759303164,12.801307236836186
000075.jpg,000075_circle_random_inpainted.jpg,0.1062687008965323,2045.6762962581176,15.022434479487837
000076.jpg,000076_circle_random_inpainted.jpg,0.1652738323132392,2903.408720750438,13.501721839160076
000077.jpg,000077_circle_random_inpainted.jpg,0.171804864189723,1416.2391420128508,16.619437676218617
000078.jpg,000078_circle_random_inpainted.jpg,0.187429471633004,1431.7317716386626,16.572186983489225
000079.jpg,000079_circle_random_inpainted.jpg,0.1127537962866072,1836.1883826409648,15.491631255361789
000080.jpg,000080_circle_random_inpainted.jpg,0.1300557193048269,2198.915532762945,14.708718137988493
000081.jpg,000081_circle_random_inpainted.jpg,0.088214296417983,1795.7920489296637,15.588243165272566
000082.jpg,000082_circle_random_inpainted.jpg,0.1754996590433792,1314.4833951826272,16.94325256485708
000083.jpg,000083_circle_random_inpainted.jpg,0.1284211843628799,1569.1643043672473,16.174119407072876
000084.jpg,000084_circle_random_inpainted.jpg,0.1296372979338399,1507.003487612961,16.34966103477425
000085.jpg,000085_circle_random_inpainted.jpg,0.1312993867464527,2638.2878741023264,13.917581794706631
000086.jpg,000086_circle_random_inpainted.jpg,0.3777801794049342,718.5698811119129,19.5661135109005
000087.jpg,000087_circle_random_inpainted.jpg,0.1472902036342878,882.8084819434423,18.672138636964437
000088.jpg,000088_circle_random_inpainted.jpg,0.1364610181023533,1770.1481977802976,15.650707336112172
000089.jpg,000089_circle_random_inpainted.jpg,0.1493106640631178,1769.9703381094732,15.651143725305776
000090.jpg,000090_circle_random_inpainted.jpg,0.1371860974672512,1986.8797203037489,15.14908783838349
000091.jpg,000091_circle_random_inpainted.jpg,0.1350699838136609,2587.688348280246,14.001683905606928
000092.jpg,000092_circle_random_inpainted.jpg,0.0968913226783176,2335.0910387245303,14.447765436981296
000093.jpg,000093_circle_random_inpainted.jpg,0.2058872318312902,1706.3555389478747,15.810108343203243
000094.jpg,000094_circle_random_inpainted.jpg,0.1167451913900908,1382.04449713088,16.72558334799846
000095.jpg,000095_circle_random_inpainted.jpg,0.189955469807288,1575.7744906023431,16.155862952363357
000096.jpg,000096_circle_random_inpainted.jpg,0.2738734804672273,1107.417216438168,17.687690898895994
000097.jpg,000097_circle_random_inpainted.jpg,0.161000925816523,2499.8783802357148,14.15161480226802
000098.jpg,000098_circle_random_inpainted.jpg,0.1228963579929586,1945.2926760127823,15.24095409183063
000099.jpg,000099_circle_random_inpainted.jpg,0.1555376322796123,1313.9762653334708,16.944928403380594
000100.jpg,000100_circle_random_inpainted.jpg,0.1714093474572967,1273.099268116689,17.082180923953388
000101.jpg,000101_circle_random_inpainted.jpg,0.1460661712462306,1146.5882640964849,17.53672868627423
000102.jpg,000102_circle_random_inpainted.jpg,0.1294516309653205,1369.653575232794,16.7646962538289
000103.jpg,000103_circle_random_inpainted.jpg,0.2744249285299904,1347.8023056042332,16.834541659101767
000104.jpg,000104_circle_random_inpainted.jpg,0.1624579349607765,1401.1172387726351,16.66605884381742
000105.jpg,000105_circle_random_inpainted.jpg,0.1123546047499143,1843.4273356698625,15.474543376345212
000106.jpg,000106_circle_random_inpainted.jpg,0.1466544898089449,1173.139959797959,17.437305327746003
000107.jpg,000107_circle_random_inpainted.jpg,0.1297841352855659,2004.5475036937771,15.110640082645956
000108.jpg,000108_circle_random_inpainted.jpg,0.0499451497929182,1840.8513383499983,15.480616432716364
000109.jpg,000109_circle_random_inpainted.jpg,0.1447528133963071,1846.666228567501,15.466919538902292
000110.jpg,000110_circle_random_inpainted.jpg,0.150013990152213,2215.0394461052124,14.676988961899568
000111.jpg,000111_circle_random_inpainted.jpg,0.2840281693733288,1015.0317493041956,18.06600734055164
000112.jpg,000112_circle_random_inpainted.jpg,0.1711130489260379,1219.010067690616,17.270730684370392
000113.jpg,000113_circle_random_inpainted.jpg,0.4890512978155559,676.1427000652853,19.830419973069503
000114.jpg,000114_circle_random_inpainted.jpg,0.1983972243259415,1999.242036903412,15.122149859951882
000115.jpg,000115_circle_random_inpainted.jpg,0.1583642467923432,1205.1952461945505,17.320229509063736
000116.jpg,000116_circle_random_inpainted.jpg,0.161490978743168,1461.868295364739,16.48172113535306
000117.jpg,000117_circle_random_inpainted.jpg,0.2436434354227431,2069.1414201285093,14.972901863536892
000118.jpg,000118_circle_random_inpainted.jpg,0.1881535204374701,1340.9049324811874,16.856823725482933
000119.jpg,000119_circle_random_inpainted.jpg,0.1409904001582012,1557.259097000309,16.20719484307446
000120.jpg,000120_circle_random_inpainted.jpg,0.2361776169590292,722.0305466790365,19.54524789373733
000121.jpg,000121_circle_random_inpainted.jpg,0.3199037716046076,1248.3100195856098,17.167579044678718
000122.jpg,000122_circle_random_inpainted.jpg,0.1474684694684101,1788.597979589733,15.605676250328312
000123.jpg,000123_circle_random_inpainted.jpg,0.1252412967523334,1998.686501391609,15.123356815036344
000124.jpg,000124_circle_random_inpainted.jpg,0.1480411080689881,1253.088315637563,17.150986804225003
000125.jpg,000125_circle_random_inpainted.jpg,0.1466943499158618,2057.108279215201,14.998232087803691
000126.jpg,000126_circle_random_inpainted.jpg,0.2420447780268086,1373.5427017833213,16.752381952106468
000127.jpg,000127_circle_random_inpainted.jpg,0.159028965035268,1189.9768236951518,17.37541857827752
000128.jpg,000128_circle_random_inpainted.jpg,0.1592729550711055,1717.3707177954163,15.782163072244376
000129.jpg,000129_circle_random_inpainted.jpg,0.1179540868417172,1740.2171167920833,15.724769248023716
000130.jpg,000130_circle_random_inpainted.jpg,0.150963087993763,1415.0347129161942,16.623132669842523
000131.jpg,000131_circle_random_inpainted.jpg,0.1484676846751016,1634.573274232897,15.996759670731288
000132.jpg,000132_circle_random_inpainted.jpg,0.3329018576627054,2070.681003676597,14.969671615464684
000133.jpg,000133_circle_random_inpainted.jpg,0.098918293569794,1973.2410576229252,15.179002175312997
000134.jpg,000134_circle_random_inpainted.jpg,0.4345601606557239,1117.0360186235096,17.650131837798433
000135.jpg,000135_circle_random_inpainted.jpg,0.1199070520479818,1613.003685187094,16.054450012566356
000136.jpg,000136_circle_random_inpainted.jpg,0.1869386650870708,937.5753015153076,18.41074202634269
000137.jpg,000137_circle_random_inpainted.jpg,0.1582289371737969,1781.578393980002,15.622754236987756
000138.jpg,000138_circle_random_inpainted.jpg,0.1156302918316115,1873.4570491014672,15.404366199644066
000139.jpg,000139_circle_random_inpainted.jpg,0.1502235325099044,1520.729658454455,16.310283448929475
000140.jpg,000140_circle_random_inpainted.jpg,0.1767299498442638,1081.082637528777,17.79221468347496
000141.jpg,000141_circle_random_inpainted.jpg,0.1834797464723898,1159.9959969762567,17.486238703428214
000142.jpg,000142_circle_random_inpainted.jpg,0.149962681677311,994.6882194275504,18.15393386454791
000143.jpg,000143_circle_random_inpainted.jpg,0.1757184273192403,1192.5520994399203,17.36602999566648
000144.jpg,000144_circle_random_inpainted.jpg,0.1501695689133406,1616.8323626430265,16.04415367401346
000145.jpg,000145_circle_random_inpainted.jpg,0.2346709483647534,1892.0448321478884,15.361489380390484
000146.jpg,000146_circle_random_inpainted.jpg,0.1290288674681518,1084.521312235852,17.778422699898208
000147.jpg,000147_circle_random_inpainted.jpg,0.156638149920834,2087.0737810535,14.93542558597847
000148.jpg,000148_circle_random_inpainted.jpg,0.1783373414666812,1116.122573274233,17.653684691574917
000149.jpg,000149_circle_random_inpainted.jpg,0.1520471462022388,2202.3288234889874,14.701981981098978
