img,inpainted,ssim,mse,psnr
000001.jpg,000001_line_random_inpainted.jpg,0.0911268794550219,2572.478653403429,14.0272858122258
000002.jpg,000002_line_random_inpainted.jpg,0.1570986969522525,1877.528931725252,15.394937228924665
000003.jpg,000003_line_random_inpainted.jpg,0.1353819287643454,968.7242552314194,18.26880186989158
000004.jpg,000004_line_random_inpainted.jpg,0.1516743662196782,1696.354362093255,15.835637809741788
000005.jpg,000005_line_random_inpainted.jpg,0.1655654710818707,1537.0575971549324,16.26390219029918
000006.jpg,000006_line_random_inpainted.jpg,0.1759770226532705,1588.792298044875,16.120132350317594
000007.jpg,000007_line_random_inpainted.jpg,0.300516496885093,1820.7807013022712,15.528227192737312
000008.jpg,000008_line_random_inpainted.jpg,0.1739716355455715,1806.7291945847508,15.56187298573238
000009.jpg,000009_line_random_inpainted.jpg,0.1991128953763425,1642.0163127512628,15.97702893527444
000010.jpg,000010_line_random_inpainted.jpg,0.1416335236209731,1443.2569322750232,16.53736708681957
000011.jpg,000011_line_random_inpainted.jpg,0.1589509283069637,1187.5855925505962,17.38415440648626
000012.jpg,000012_line_random_inpainted.jpg,0.0938015442542128,1573.883663196234,16.16107733416135
000013.jpg,000013_line_random_inpainted.jpg,0.1516732587760732,1764.5010050510257,15.664584507998676
000014.jpg,000014_line_random_inpainted.jpg,0.1181499370010259,1708.2166529223791,15.805374095022549
000015.jpg,000015_line_random_inpainted.jpg,0.1935072611986,1316.411503968663,16.936886919794848
000016.jpg,000016_line_random_inpainted.jpg,0.1337341885410824,1142.3409957736317,17.552845980461985
000017.jpg,000017_line_random_inpainted.jpg,0.109598638104208,1617.434482699378,16.04253663105787
000018.jpg,000018_line_random_inpainted.jpg,0.1121212120978317,2039.3404374119507,15.035906300637404
000019.jpg,000019_line_random_inpainted.jpg,0.1325812188223526,1671.037298560286,15.900942171515789
000020.jpg,000020_line_random_inpainted.jpg,0.1640483597275042,1731.9929904133594,15.745342308257042
000021.jpg,000021_line_random_inpainted.jpg,0.2477080842820966,972.8667319520324,18.25027008309571
000022.jpg,000022_line_random_inpainted.jpg,0.1415118087534246,1151.0428649967355,17.51988863749923
000023.jpg,000023_line_random_inpainted.jpg,0.1334298564699032,1807.008091949284,15.561202634917858
000024.jpg,000024_line_random_inpainted.jpg,0.2095491729059887,1269.1631962340653,17.095628911239096
000025.jpg,000025_line_random_inpainted.jpg,0.1259081629990109,1264.2739580112016,17.112391685981507
000026.jpg,000026_line_random_inpainted.jpg,0.2582202384327544,1228.1052468817647,17.238447740453587
000027.jpg,000027_line_random_inpainted.jpg,0.1212342893517313,1584.3600573824003,16.13226475808387
000028.jpg,000028_line_random_inpainted.jpg,0.1024037310887028,1520.5483541215683,16.310801254083003
000029.jpg,000029_line_random_inpainted.jpg,0.2153298943484123,1124.7888619729924,17.62009353696801
000030.jpg,000030_line_random_inpainted.jpg,0.2212962984056202,952.971489193554,18.34000453168865
000031.jpg,000031_line_random_inpainted.jpg,0.1356741524640451,1318.9038501185444,16.928672248249562
000032.jpg,000032_line_random_inpainted.jpg,0.1718619151910917,1594.9274731127375,16.10339421902973
000033.jpg,000033_line_random_inpainted.jpg,0.1271902082440416,1536.0914682335151,16.266632838661977
000034.jpg,000034_line_random_inpainted.jpg,0.0892286739709209,1548.407732879772,16.231950293120363
000035.jpg,000035_line_random_inpainted.jpg,0.1654396935101569,1523.1334226712022,16.30342412757158
000036.jpg,000036_line_random_inpainted.jpg,0.1377868750923022,1236.1589355049307,17.210060483875658
000037.jpg,000037_line_random_inpainted.jpg,0.1114689429699646,1048.4566110023022,17.925298984005284
000038.jpg,000038_line_random_inpainted.jpg,0.1782161170929833,1566.2850651135625,16.182095540150343
000039.jpg,000039_line_random_inpainted.jpg,0.208131137780927,1776.4722537195478,15.635219321276166
000040.jpg,000040_line_random_inpainted.jpg,0.1511496699393595,1533.0296103494486,16.275298175678856
000041.jpg,000041_line_random_inpainted.jpg,0.1772611429957105,908.0415678796,18.549746309728995
000042.jpg,000042_line_random_inpainted.jpg,0.1328540631335188,1822.618381266536,15.523846150103346
000043.jpg,000043_line_random_inpainted.jpg,0.1312829344397438,1491.0267927705047,16.395949133586857
000044.jpg,000044_line_random_inpainted.jpg,0.1659932430417114,1952.194266914064,15.225573278390891
000045.jpg,000045_line_random_inpainted.jpg,0.2198716784128303,1854.8866697591316,15.447629807183542
000046.jpg,000046_line_random_inpainted.jpg,0.217672886325783,1529.9145534824588,16.28413184943987
000047.jpg,000047_line_random_inpainted.jpg,0.1548516411306516,1441.113407552486,16.54382202166162
000048.jpg,000048_line_random_inpainted.jpg,0.1956751665179832,1465.4497216781774,16.471094381086747
000049.jpg,000049_line_random_inpainted.jpg,0.113313308506206,1323.1006511356218,16.91487477700732
000050.jpg,000050_line_random_inpainted.jpg,0.1844163890342977,1039.243291069649,17.963631313084555
000051.jpg,000051_line_random_inpainted.jpg,0.1276860672695171,1703.065044840738,15.818491256616484
000052.jpg,000052_line_random_inpainted.jpg,0.1766454237010682,1390.557906401402,16.69891282153913
000053.jpg,000053_line_random_inpainted.jpg,0.1524170374887049,1623.4788767481016,16.026337185196375
000054.jpg,000054_line_random_inpainted.jpg,0.2069688309880654,1472.8803817475862,16.449128833100126
000055.jpg,000055_line_random_inpainted.jpg,0.1285506561312219,1347.406495893894,16.835817240973004
000056.jpg,000056_line_random_inpainted.jpg,0.1764362165498776,1599.069614816342,16.092129898843467
000057.jpg,000057_line_random_inpainted.jpg,0.1461811686480811,1341.384281689173,16.855271478864267
000058.jpg,000058_line_random_inpainted.jpg,0.2029662986920205,1329.2034927670686,16.89488887057903
000059.jpg,000059_line_random_inpainted.jpg,0.1505532299202787,1348.711825241384,16.83161195537755
000060.jpg,000060_line_random_inpainted.jpg,0.1173870005973362,1860.3949163316497,15.434752167689869
000061.jpg,000061_line_random_inpainted.jpg,0.1641046665911889,1132.6355530357696,17.589901710108176
000062.jpg,000062_line_random_inpainted.jpg,0.1527947179945928,1100.9838075112532,17.71299429144318
000063.jpg,000063_line_random_inpainted.jpg,0.1041239777459251,1730.6810723980343,15.74863316827847
000064.jpg,000064_line_random_inpainted.jpg,0.1328354735720093,1329.0193966257775,16.895490414856972
000065.jpg,000065_line_random_inpainted.jpg,0.1773864570622593,903.5399958767138,18.57132979173946
000066.jpg,000066_line_random_inpainted.jpg,0.1798013191783224,1335.8792564340447,16.873131547000654
000067.jpg,000067_line_random_inpainted.jpg,0.1533312883766724,1946.7251228395696,15.23775727304544
000068.jpg,000068_line_random_inpainted.jpg,0.1179569531746585,1802.5560165618665,15.571915910516426
000069.jpg,000069_line_random_inpainted.jpg,0.1545407239168482,1560.9456585231762,16.19692576712807
000070.jpg,000070_line_random_inpainted.jpg,0.2259276262841361,1553.7408256880733,16.21701783572068
000071.jpg,000071_line_random_inpainted.jpg,0.1530455023863352,1404.627985087448,16.655190440409665
000072.jpg,000072_line_random_inpainted.jpg,0.1506790990844162,1698.533140913308,15.830063358465203
000073.jpg,000073_line_random_inpainted.jpg,0.1273901751336955,1686.6646565646154,15.860516163229212
000074.jpg,000074_line_random_inpainted.jpg,0.1502458206695573,3248.280237432567,13.014268709882709
000075.jpg,000075_line_random_inpainted.jpg,0.1026464471023863,2039.1970930831876,15.036211575018497
000076.jpg,000076_line_random_inpainted.jpg,0.1867992113613359,2595.604301961997,13.988418755796806
000077.jpg,000077_line_random_inpainted.jpg,0.1711474695416679,1418.2034068652715,16.613418365484648
000078.jpg,000078_line_random_inpainted.jpg,0.1849175200085329,1417.958578153455,16.614168165809026
